id,Gender,Meaning,Name,Origin
84,Boy,Light,Aalok,Bengali
85,Boy,Cryof victory,Aalok,Hindi
86,Girl,The capital of kuvera,Aaloka,Bengali
87,Girl,Lustrous,Aaloka,Hindi
88,Girl,Lac dye,Aalta,Bengali
89,Girl,Hopes; aspirations,Aamaal,Arabic
90,Girl,"Hopes, aspirations",Aamaal,Bengali
91,Girl,Spring season (vasanth ritu),Aamani,Bengali
92,Girl,Spring season (vasanth ritu),Aamani,Hindi
93,Girl,Night rain,Aamaya,Bengali
94,Girl,Blessed,Aamina bee,Bengali
95,Boy,Populous; full; prosperous,Aamir,Arabic
96,Boy,"Pleasant, accept",Aamod,Hindi
97,Girl,Mango tree leaf,Aamra=pali,Hindi
98,Girl,Name of the poem written by an indian king sri krishna deva raya,Aamukta malya,Hindi
99,Girl,Fire,Aanal,Bengali
100,Boy,Joy or bliss,Aanand,Sikh
101,Girl,Very happy,Aanandamayi,Hindi
102,Girl,Always happy woman,"Aanandi, aanandita",Hindi
103,Girl,Joyful;,Aanandita,Bengali
104,Girl,Shelter,Aanchal,Bengali
105,Girl,Shelter,Aanchal,Hindi
106,Boy,Bulbul ( a bird names ),Aandaleeb,Hindi
107,Girl,Decorating the god,Aangi,Bengali
108,Boy,Lord hanuman,Aanjaney,Hindi
109,Boy,Lord hanuman,Aanjaneya,Hindi
110,Girl,God\'s gift,Aanshi,Bengali
111,Girl,Gracious,Aanya,Bengali
112,Girl,Lustrous,Aaoka,Bengali
113,Girl,"Passion, being passionate",Aapeksha,Bengali
114,Girl,"Trust worthy, friend",Aapt,Hindi
115,Girl,Fulfilment,Aapti,Bengali
116,Girl,Fulfillment,Aapti,Hindi
117,Boy,Onewho promises,Aaquid,Hindi
118,Boy,Worshipper,Aaraadhak,Hindi
119,Girl,Karnatic musical (raaga )famous note,Aarabhi,Bengali
120,Boy,"Deep rapturous love, adoration",Aaradh,Sikh
121,Girl,Worship,Aaradhana,Bengali
122,Girl,Worship,Aaradhana,Hindi
123,Girl,With song,Aaralyn,American
124,Girl,Its a city in tamil nadu that\'s well known for sarees.,Aarani,Bengali
125,Girl,First ray of sun,Aarashi,Bengali
126,Girl,Akind of worship,Aarati,Hindi
127,Girl,"Dusk lamp beneath \'tulsi\' plant,arati",Aaratrika,Bengali
128,Girl,Peace,Aaravi,Bengali
129,Girl,Ray of light,Aarchi,Bengali
130,Boy,Acquainted; knowledgeable,Aarif,Arabic
131,Girl,"Acquainted, knowledgeable",Aarif,Bengali
132,Girl,Mountain strenght,Aarin,Bengali
133,Girl,Adventurous,Aarini,Bengali
134,Girl,Navigator,Aaritra,Bengali
135,Boy,One who is steadfast in happiness or sorrow,Aarjav,Hindi
136,Girl,Goddess laxmi,Aarna,Bengali
137,Girl,A music tune,Aarohi,Bengali
138,Boy,Enlightened; to sing,Aaron,Biblical
139,Boy,Enlightened; to sing,Aaron,Hebrew
140,Girl,Way of offering prayer to god,Aarthi,Bengali
141,Girl,Form of worship,Aarti,Bengali
142,Girl,Form of worship,Aarti,Hindi
143,Girl,Sun; the one with aruna as his charioteer,Aaruna,Bengali
144,Girl,First rays of the morning sun,Aarusha,Bengali
145,Girl,First ray of the sun.,Aarushi,Bengali
146,Girl,First rays,Aarushi,Hindi
147,Girl,Peace,Aarvi,Bengali
148,Girl,"Goddess parvati, durga",Aarya,Bengali
149,Girl,A noble lady,Aaryaa,Bengali
150,Boy,Wish,Aarzoo,Hindi
151,Girl,Hope,Aasa,Sikh
152,Girl,Hope,Aasha,Hindi
153,Girl,Hope,Aasha,Sikh
154,Girl,Creeper of hope,Aasha latha,Bengali
155,Girl,Creeper of hope,Aasha latha,Hindi
156,Boy,"A lover,a suitor",Aashiq,Arabic
157,Boy,Blessing,Aashish,Hindi
158,Boy,Blessing,Aashish,Sikh
159,Girl,One who is hopeful,Aashita,Hindi
160,Girl,Beautiful home,Aashiyana,Hindi
161,Boy,Receiving or taking blessings from the god,Aashka,Hindi
162,Boy,To embrace,Aashlesh,Hindi
163,Girl,Lightning,Aashni,Bengali
164,Girl,Goddess laxmi,Aashrita,Bengali
165,Girl,One who has taken refuge in the lord,Aashrita,Hindi
166,Girl,Somebody who gives shelter,Aashritha,Bengali
167,Girl,Faith,Aashtha,Bengali
168,Boy,Who is easily pleased,Aashutosh,Hindi
169,Boy,Protector,Aasim,Arabic
170,Girl,Excellent; precious,Aasmaa,Arabic
171,Girl,Faith,Aastha,Bengali
172,Girl,Faith,Aastha,Hindi
173,Girl,Faith,Aasthika,Bengali
174,Boy,One who has faith in god,Aastik,Hindi
175,Girl,Related to aathma or soul,Aathmika,Bengali
176,Boy,"Descendant of athri,a disciple of sage vamadeva",Aathreya,Hindi
177,Boy,Fireworks,Aatish,Bengali
178,Boy,Fireworks,Aatish,Hindi
179,Boy,Soul,Aatma,Hindi
180,Boy,"Soul, light of the lord",Aatma,Sikh
181,Boy,Son,Aatmaj,Hindi
182,Girl,"Daughter of the soul, daughter",Aatmaja,Bengali
183,Girl,Daughter,Aatmaja,Hindi
184,Girl,River,Aatrayi,Bengali
185,Boy,Anancient name,Aatrey,Hindi
186,Boy,"Arrive, to come",Aavai,Sikh
187,Girl,First month of tamil calendar,Aavani,Bengali
188,Girl,"Altruism, advantage,virtue,accord, heart, warm and loving.",Aavihshka,Bengali
189,Girl,The mirror,Aayana,Bengali
190,Girl,Long life,Aayaushi,Bengali
191,Boy,Span of life,Aayu,Bengali
192,Boy,Span of life,Aayu,Hindi
193,Girl,One with long life,Aayushi,Bengali
194,Girl,One with long life,Aayushi,Hindi
195,Boy,Long life,Aayushmaan,Bengali
196,Boy,Long life,Aayushmaan,Hindi
197,Girl,A star,Aazmin,Bengali
198,Girl,Now,Ab,Sikh
199,Girl,Born on thursday,Aba,African
200,Boy,Old arabic name,Abaan,Arabic
201,Girl,Flower,Ababa,Hindi
202,Boy,Eternity,Abad,Arabic
203,Boy,Fearless life,Abahijeevan,Sikh
204,Boy,Old arabic name,Aban,Arabic
205,Boy,The earth,Abani,Bengali
206,Boy,King,Abanimohon,Bengali
207,Boy,King,Abanish,Bengali
208,Girl,Ujjain,Abanti,Bengali
209,Girl,God bharvathy,Abarna,Bengali
210,Boy,He who brings joy,Abayomi,Hindi
211,Girl,Born on thursday,Abba,African
212,Boy,Description of a lion,Abbas,Arabic
213,Girl,Father of joy,Abbie,Biblical
214,Girl,Father of joy,Abbie,Hebrew
215,Boy,Father,Abbot,Hindi
216,Boy,Father,Abbott,Biblical
217,Boy,Father,Abbott,Hebrew
218,Boy,Devoted,Abbud,Arabic
219,Boy,Worshippers,Abbudin,Arabic
220,Girl,God is joy,Abby,Biblical
221,Girl,God is joy,Abby,Hebrew
222,Boy,"Slave, servant of god",Abd,Arabic
223,Boy,"Slave of the peace,",Abd us-salam,Arabic
224,Girl,"Slave girl, a black slave girl",Abda,Arabic
225,Boy,Servant of god,Abdalla,African
226,Boy,Servent,Abdel,Arabic
227,Boy,Slave of the appreciative,Abdes shakur,Arabic
228,Girl,"Born in sea, goddess lakshmi",Abdhija,Hindi
229,Boy,Servent of god,Abdiel,Hebrew
230,Boy,N/a,Abdieso,Persian
231,Boy,Slave to the one who causes loss,Abdud daarr,Arabic
232,Boy,Slave of the merciful god,Abdukrahman,Arabic
233,Boy,Slave of the merciful god,Abdukrahman,Persian
234,Boy,Servant of the lord,Abdul,African
235,Boy,Azeemservant of the mighty,Abdul,Arabic
236,Boy,Servant of the most high,Abdul aalee,Arabic
237,Boy,Slave to the just,Abdul adl,Arabic
238,Boy,Slave to the pardoner,Abdul afuw,Arabic
239,Boy,Slave of the only,Abdul ahad,Arabic
240,Boy,Slave to the last,Abdul akhir,Arabic
241,Boy,Servant of the omniscient,Abdul aleem,Arabic
242,Boy,Servant of the most high,Abdul ali,Arabic
243,Boy,Slave to the all-knowing,Abdul alim,Arabic
244,Boy,Servant of the most high,Abdul aliyy,Arabic
245,Boy,Slave to the first,Abdul awwal,Arabic
246,Boy,Servant of the mighty,Abdul azeem,Arabic
247,Boy,"Servant of the mighty, the powerful",Abdul azeez,Arabic
248,Boy,"Servant of the mighty, the powerful","Abdul azeez, abdul aziz",Arabic
249,Boy,"Slave to the great,",Abdul azim,Arabic
250,Boy,"Slave to the mighty, the string",Abdul aziz,Arabic
251,Boy,Servant of the creator,Abdul baari,Arabic
252,Boy,"Servant of the extender, creator",Abdul baasit,Arabic
253,Boy,Slave to the resurrector,Abdul baith,Arabic
254,Boy,Slave to the everlasting,Abdul baqi,Arabic
255,Boy,Servant of the creator,Abdul bari,Arabic
256,Boy,Slave to the righteous,Abdul barr,Arabic
257,Boy,Slave to the extender,Abdul baset,Arabic
258,Boy,Slave to the all-seeing,Abdul basir,Arabic
259,Boy,"Servant of the extender, creator",Abdul basit,Arabic
260,Boy,Slave to the hidden,Abdul batin,Arabic
261,Boy,Servant of the opener (of the gates of sustenance),Abdul fataah,Arabic
262,Boy,Servant of the opener (of the gates of sustenance),Abdul fatah,Arabic
263,Boy,"Slave to the opener, reliever",Abdul fattaah,Arabic
264,Boy,"Slave to the opener, reliever",Abdul fattah,Arabic
265,Boy,Servant of the forgiver,Abdul ghafar,Arabic
266,Boy,Servant of the forgiver,Abdul ghaffar,Arabic
267,Boy,Servant of the forgiver,"Abdul ghaffar, abdul ghafur",Arabic
268,Boy,Servant of the forgiver,Abdul ghafoor,Arabic
269,Boy,Slave of the forgiving,Abdul ghafur,Arabic
270,Boy,Slave to the self-sufficient,Abdul ghani,Arabic
271,Boy,Servant of the guide,Abdul haady,Arabic
272,Boy,Servant of the protector,Abdul haafiz,Arabic
273,Boy,Slave to the guide,Abdul hadi,Arabic
274,Boy,Servant of the guide,Abdul hady,Arabic
275,Boy,Slave to the ever-living,Abdul haeyy,Arabic
276,Boy,Slave of the guardian,Abdul hafezh,Arabic
277,Boy,Servant of the protector,Abdul hafiz,Arabic
278,Boy,Servant of the arbitrator,Abdul hakam,Arabic
279,Boy,Servant of the wise,Abdul hakeem,Arabic
280,Boy,Slave to the wise,Abdul hakim,Arabic
281,Boy,"Servant of the mild, patient",Abdul haleem,Arabic
282,Boy,"Slave to the forbearing, clement",Abdul halim,Arabic
283,Boy,"Servant of the praiseworthy, the ever praised",Abdul hameed,Arabic
284,Boy,Slave to the all-praiseworthy,Abdul hamid,Arabic
285,Boy,Servant of the truth,Abdul haq,Arabic
286,Boy,Slave to the truth,Abdul haqq,Arabic
287,Boy,"Servant of the respected, esteemed",Abdul haseeb,Arabic
288,Boy,Slave to the reckoner,Abdul haseib,Arabic
289,Boy,Slave to the reckoner,Abdul hasib,Arabic
290,Boy,Slave to the ever-living,Abdul hayy,Arabic
291,Boy,Servant of the mighty,Abdul jabaar,Arabic
292,Boy,Servant of the mighty,Abdul jabar,Arabic
293,Boy,Slave of the compeller,Abdul jabbaar,Arabic
294,Boy,Slave of the compeller,Abdul jabbar,Arabic
295,Boy,"Servant of the great, revered",Abdul jaleel,Arabic
296,Boy,Slave of the revered,Abdul jalil,Arabic
297,Boy,Slave to the gatherer,Abdul jamee,Arabic
298,Boy,Slave to the gatherer,Abdul jami,Arabic
299,Boy,Slave to the most great,Abdul kabir,Arabic
300,Boy,"Servant of the noble, generous",Abdul kareem,Arabic
301,Boy,Slave to the generous,Abdul karim,Arabic
302,Boy,Servant of the creator,Abdul khaaliq,Arabic
303,Boy,"Slave to the all-informed,",Abdul khabir,Arabic
304,Boy,Slave of the humbler,Abdul khafed,Arabic
305,Boy,Slave of the humbler,Abdul khafid,Arabic
306,Boy,Slave to the creator,Abdul khaleq,Arabic
307,Boy,Servant of the creator,Abdul khaliq,Arabic
308,Boy,Servant of the kind,Abdul lateef,Arabic
309,Boy,"Slave to the kind, gracious",Abdul lateif,Arabic
310,Boy,"Slave to the kind, gracious",Abdul latif,Arabic
311,Boy,Slave to the most glorious,Abdul maajid,Arabic
312,Boy,Slave of the king (allah),Abdul maalik,Arabic
313,Boy,Servant of the glorious,Abdul majeed,Arabic
314,Boy,Slave to the most glorious,Abdul majid,Arabic
315,Boy,Slave of the king (allah),Abdul malik,Arabic
316,Boy,"Servant of the firm, strong",Abdul mateen,Arabic
317,Boy,Slave of the firm,Abdul matein,Arabic
318,Boy,Slave of the firm,Abdul matin,Arabic
319,Boy,Slave of the fashioner,Abdul mosawwir,Arabic
320,Boy,Slave to the initiator,Abdul mubde,Arabic
321,Boy,Slave to the initiator,Abdul mubdi,Arabic
322,Boy,Slave of the honorer,Abdul mueez,Arabic
323,Boy,Slave of the enricher,Abdul mughni,Arabic
324,Boy,"Servant of the supervising, the guardian, the protector",Abdul muhaimin,Arabic
325,Boy,"Slave to the protector, guardian",Abdul muhaymen,Arabic
326,Boy,"Slave to the protector,guardian",Abdul muhaymin,Arabic
327,Boy,Slave to the accountant,Abdul muhsei,Arabic
328,Boy,Slave to the accountant,Abdul muhsi,Arabic
329,Boy,Slave of the life-giver,Abdul muhye,Arabic
330,Boy,Slave of the life-giver,Abdul muhyi,Arabic
331,Boy,Servant of the giver of might and glory,Abdul muiz,Arabic
332,Boy,Servant of the giver of might and glory,Abdul muizz,Arabic
333,Boy,Servant of the responder,Abdul mujeeb,Arabic
334,Boy,Slave to the responder,Abdul mujib,Arabic
335,Boy,Slave of the faithful,Abdul mumen,Arabic
336,Boy,Slave of the presenter,Abdul muqaddem,Arabic
337,Boy,Slave of the presenter,Abdul muqaddim,Arabic
338,Boy,Slave to the equitable,Abdul muqset,Arabic
339,Boy,Slave to the equitable,Abdul muqsit,Arabic
340,Boy,Slave to the able,Abdul muqtadir,Arabic
341,Boy,Slave of the fashioner,Abdul musawwir,Arabic
342,Boy,Servant of the most high,Abdul mutaal,Arabic
343,Boy,Slave to the supreme,Abdul mutaali,Arabic
344,Boy,"Slave of the majestic, superb",Abdul mutakabber,Arabic
345,Boy,"Slave of the majestic, superb",Abdul mutakabbir,Arabic
346,Boy,Servant of the most high,Abdul mutal,Arabic
347,Boy,,Abdul muttalib = n,Arabic
348,Boy,Slave of the beneficial,Abdul nafee,Arabic
349,Boy,Slave of the beneficial,Abdul nafi,Arabic
350,Boy,"Servant of the helper, protector",Abdul nasir,Arabic
351,Boy,"Servant of the helper, granting victory",Abdul nasser,Arabic
352,Boy,Slave of the light,Abdul nur,Arabic
353,Boy,"Literally means ""slave""",Abdul or-abd,Arabic
354,Boy,Servant of the capable,Abdul qaadir,Arabic
355,Boy,Servant of the capable,Abdul qadir,Arabic
356,Boy,Slave to the omnipotent,Abdul qadr,Arabic
357,Boy,"Servant of the subduer, the almighty",Abdul qahaar,Arabic
358,Boy,"Servant of the subduer, the almighty",Abdul qahar,Arabic
359,Boy,"Slave to the subduer, the dominant",Abdul qahhar,Arabic
360,Boy,Slave to the almighty,Abdul qawi,Arabic
361,Boy,Slave to the subsisting,Abdul qayoum,Arabic
362,Boy,Slave to the subsisting,Abdul qayyum,Arabic
363,Boy,Slave to the holy (allah),Abdul quddous,Arabic
364,Boy,Slave to the holy (allah),Abdul quddus,Arabic
365,Boy,Servant of the most holy,Abdul qudoos,Arabic
366,Boy,"Servant of the one who raises (intellect,esteem), elevates",Abdul raafi,Arabic
367,Boy,Slave to the exalteer,Abdul rafee,Arabic
368,Boy,"Servant of the one who raises (intellect, esteem), elevates",Abdul rafi,Arabic
369,Boy,Servant of the most compassionate,Abdul raheem,Arabic
370,Boy,Slave of the most merciful,Abdul rahim,Arabic
371,Boy,Servant of the mercifully gracious,Abdul rahmaan,Arabic
372,Boy,Servant of the mercifully gracious,Abdul rahman,Arabic
373,Boy,Servant of the most merciful,Abdul raouf,Arabic
374,Boy,Slave of the watcher,Abdul raqib,Arabic
375,Boy,Servant of the rightly guided,Abdul rasheed,Arabic
376,Boy,Slave to the righteous guide,Abdul rashid,Arabic
377,Boy,Slave to the compassionate,Abdul rauf,Arabic
378,Boy,"Servant of the maintainer, the provider",Abdul razaaq,Arabic
379,Boy,"Servant of the maintainer, the provider",Abdul razaq,Arabic
380,Boy,Slave of the provider (allah),Abdul razzaq,Arabic
381,Boy,Servant of the patient,Abdul saboor,Arabic
382,Boy,Slave to the most patient,Abdul sabur,Arabic
383,Boy,Servant of the peace,Abdul salaam,Arabic
384,Boy,Servant of the peace,Abdul salam,Arabic
385,Boy,Servant of the eternal,Abdul samad,Arabic
386,Boy,Servant of the all-hearing,Abdul samee,Arabic
387,Boy,Hearing,Abdul samee servant of the all,Arabic
388,Boy,Hearing,Abdul sami = servant of the all,Arabic
389,Boy,Slave to the all-hearing,Abdul samie,Arabic
390,Boy,Slave of the witness,Abdul shahid,Arabic
391,Boy,Servant of the most thankful,Abdul shakkor,Arabic
392,Boy,Servant of the most thankful,Abdul shakoor,Arabic
393,Boy,Servant of the most thankful,Abdul shakur,Arabic
394,Boy,Servant of the forgiver,Abdul tawaab,Arabic
395,Boy,Servant of the forgiver,Abdul tawab,Arabic
396,Boy,Servant of the forgiver,Abdul tawwab,Arabic
397,Boy,Servant of the one,Abdul waahid,Arabic
398,Boy,Servant of the loving,Abdul wadood,Arabic
399,Boy,Slave of the loving,Abdul wadud,Arabic
400,Boy,Servant of the giver,Abdul wahaab,Arabic
401,Boy,Servant of the giver,Abdul wahab,Arabic
402,Boy,Slave of the bestower,Abdul wahhab,Arabic
403,Boy,Servant of the one,Abdul wahid,Arabic
404,Boy,Slave to the reveler,Abdul wajed,Arabic
405,Boy,Slave to the reveler,Abdul wajid,Arabic
406,Boy,Slave to the trustee,Abdul wakil,Arabic
407,Boy,Slave to the supporter,Abdul waley,Arabic
408,Boy,Slave to the supporter,Abdul wali,Arabic
409,Boy,Slave to the inheritor,Abdul wareth,Arabic
410,Boy,Slave to the all-embracing,Abdul wasee,Arabic
411,Boy,Slave to the all-embracing,Abdul wasi,Arabic
412,Boy,Slave of the manifest,Abdul zhaher,Arabic
413,Boy,Servant (of allah),"Abdul, abdel",Arabic
414,Boy,Slave of the generous god,Abdulkareem,Arabic
415,Boy,Slave of the generous god,Abdulkareem,Persian
416,Boy,Slave of god,Abdullah,Arabic
417,Boy,Slave of god,Abdullah,Persian
418,Boy,Slave of the merciful god,Abdulrahman,Arabic
419,Boy,Slave of the merciful god,Abdulrahman,Persian
420,Boy,Slave of the light,Abdun nur,Arabic
421,Boy,"Slave to the sustainer, lord",Abdur rabb,Arabic
422,Boy,Slave to the exalteer,Abdur rafi,Arabic
423,Boy,Slave to the righteous guide,Abdur rashid,Arabic
424,Boy,Slave to the compassionate,Abdur rauf,Arabic
425,Boy,Slave to the most patient,Abdus sabur,Arabic
426,Boy,Slave of the eternal,Abdus samad,Arabic
427,Boy,Slave to the all-hearing,Abdus sami,Arabic
428,Boy,Slave of the witness,Abdush shahid,Arabic
429,Boy,Slave of the appreciative,Abdush shakur,Arabic
430,Boy,Slave to the acceptor of repentance,Abdut tawwab,Arabic
431,Boy,Slave of the manifest,Abduz zahir,Arabic
432,Boy,Father of a multitude,Abe,Biblical
433,Boy,Father of a multitude,Abe,Hebrew
434,Boy,Worshipper,Abed,Arabic
435,Boy,Worshipper,"Abed, abid",Arabic
436,Boy,Worshipper,Abedi,African
437,Boy,Worshippers,Abedin,Arabic
438,Girl,Permanent,Abeedha,Bengali
439,Girl,Fragrance,Abeer,Arabic
440,Boy,Relating to the abaje,Abejundio,Spanish
441,Boy,A breath,Abel,Hebrew
442,Boy,A breath,Abel,Hebrew
443,Boy,"Resolute, keeper of the abbey larder",Abelard,German
444,Boy,Child,Abella,Hebrew
445,Boy,Father of multitudes,Aben,Hindi
446,Girl,Born on tuesday,Abena,African
447,Girl,Girl prayed for,Abeni,African
448,Boy,Possession,Abesh,Bengali
449,Girl,Now,Abh,Sikh
450,Girl,"Lustre, shine",Abha,Bengali
451,Girl,"Lustre, shine",Abha,Hindi
452,Boy,Awareness,Abhaas,Bengali
453,Boy,Awareness,Abhaas,Hindi
454,Boy,Free of fear,Abhaidev,Sikh
455,Boy,Victory over fear,Abhaijeet,Sikh
456,Girl,"A jewel, ornament",Abharan,Hindi
457,Girl,"One who has a halo around her head,a goddess",Abharika,Hindi
458,Boy,Reflection,Abhas,Hindi
459,Girl,"Splendour, light",Abhati,Bengali
460,Boy,"Vishnu, shiva, birth less",Abhav,Hindi
461,Boy,Fearless,Abhay,Bengali
462,Boy,Fearless,Abhay,Hindi
463,Girl,Fearless,Abhaya,Bengali
464,Girl,Fearless,Abhaya,Hindi
465,Boy,Person who gives courage and fearlessness,Abhayankar,Bengali
466,Boy,Person who gives courage and fearlessness,Abhayankar,Hindi
467,Girl,One who gives courage,Abhayankari,Hindi
468,Boy,As fearless as lion,Abhayasimha,Hindi
469,Boy,Fearless,Abheek,Hindi
470,Girl,A cowherd,Abheera,Bengali
471,Girl,Goddess of will,Abheesha,Bengali
472,Boy,"Wanted, desired",Abheest,Hindi
473,Boy,Wish,Abhi,Bengali
474,Boy,Beautiful moon,Abhichandra,Hindi
475,Girl,Literal meaning,Abhidha,Bengali
476,Boy,Dictionary,Abhidhan,Bengali
477,Girl,"Wish, longing",Abhidhya,Bengali
478,Boy,"Wish, deep meditation",Abhidhyan,Bengali
479,Girl,Praised,Abhigeetha,Hindi
480,Girl,Wisdom,Abhigjna,Bengali
481,Girl,Knowledgeable,Abhigna,Bengali
482,Girl,Wise one,Abhignya,Bengali
483,Girl,"Expert, well in formed, adept",Abhigya,Hindi
484,Boy,Recognition,Abhigyan,Bengali
485,Boy,Recollection,Abhigyan,Hindi
486,Boy,"Well born, high born",Abhijaat,Hindi
487,Girl,Well born woman,Abhijaata(abhijata),Hindi
488,Boy,"Noble, wise",Abhijat,Hindi
489,Girl,Well born (woman),Abhijata,Bengali
490,Boy,Victor,Abhijay,Hindi
491,Girl,Victorious,Abhijaya,Hindi
492,Boy,"Victor, vishnu victorious",Abhijeet,Hindi
493,Boy,Victorious,Abhijeet,Sikh
494,Boy,Eighth division of the time of the day,Abhijin,Hindi
495,Girl,Independent girl,Abhijishya,Hindi
496,Boy,Name of a star,Abhijit,Bengali
497,Boy,One who is victorious (abhijeet),Abhijit,Hindi
498,Girl,Victorious woman,Abhijita,Bengali
499,Girl,Victorious woman,Abhijita(abhijitha),Hindi
500,Girl,"Remembrance, recollection",Abhijna,Bengali
501,Boy,Beloved,Abhik,Hindi
502,Girl,"Longing for, desire.",Abhikanksha,Bengali
503,Girl,"Beauty,fame, shine",Abhikhya,Hindi
504,Girl,"Desire, wish",Abhilasa,Bengali
505,Boy,Wish; desire,Abhilash,Bengali
506,Boy,Wish; desire,Abhilash,Hindi
507,Girl,Desire,Abhilasha,Bengali
508,Girl,Desire,Abhilasha,Hindi
509,Girl,"Desired,yearned for",Abhilashita,Hindi
510,Boy,Respect,Abhimaan = one with self,Hindi
511,Girl,Respect,Abhimanini = who possesses self,Hindi
512,Boy,Name of arjun's son,Abhimanyu,Hindi
513,Boy,Congratulation,Abhinandan,Bengali
514,Boy,"Congratulations, handsome son",Abhinandan,Hindi
515,Girl,"Congratulations, happiness",Abhinandana,Hindi
516,Boy,Quite new,Abhinav,Bengali
517,Boy,Quite new,Abhinav,Hindi
518,Boy,Novel,Abhinav,Sikh
519,Boy,"Devendra,indra, king of heavens",Abhindra,Hindi
520,Boy,"Serene, loving, forgiving",Abhineeth,Bengali
521,Boy,"Serene, loving, forgiving",Abhineeth,Hindi
522,Girl,"Actress, dancer",Abhinetri,Hindi
523,Girl,"That which is already been performed, friendship",Abhinithi,Bengali
524,Boy,Long cherished desire,Abhinivesh,Hindi
525,Girl,"Long cherished desire,faith, determination",Abhinivesha,Hindi
526,Boy,Brave man,Abhinu,Hindi
527,Girl,Full of love,Abhiprithi,Bengali
528,Girl,"Desire, wish",Abhipsha,Bengali
529,Boy,Cow herd,Abhir,Hindi
